requirements_id,experience_years,education_level,skills_required
req00000,None,Bachelor's,"Hadoop, Leadership, Python"
req00001,1 year,None,"Communication, PowerBI, Scala"
req00002,1 year,MSc,"Spark, PowerBI"
req00003,2+,BS,"SQL, Hadoop, Communication"
req00004,2+,BS,"R, SQL, PowerBI, Scala, Spark"
req00005,1 year,BS,"Scala, PowerBI, Hadoop, Python"
req00006,None,None,"Leadership, Hadoop, Spark"
req00007,at least 2,PhD,"PowerBI, Spark, Scala"
req00008,at least 2,MSc,"Spark, Python, Communication"
req00009,3-5 yrs,None,"Excel, Hadoop, Scala, Leadership"
req00010,at least 2,BS,"Leadership, Excel, Scala"
req00011,3-5 yrs,BS,"Excel, Python, Leadership"
req00012,2+,MSc,"SQL, Scala, R, Excel"
req00013,1 year,BS,"Leadership, Communication"
req00014,at least 2,B.Sc.,"Leadership, Hadoop, Tableau"
req00015,3-5 yrs,MSc,"Excel, Leadership"
req00016,None,Bachelor's,"Scala, Tableau, Spark"
req00017,3-5 yrs,B.Sc.,"Leadership, Excel, Communication, Scala, Hadoop"
req00018,None,BS,"Python, SQL, Tableau, PowerBI, Scala"
req00019,at least 2,B.Sc.,"Tableau, R, PowerBI, Scala, Python"
req00020,2+,BS,"Python, Scala, Tableau, Hadoop"
req00021,at least 2,BS,"Python, Communication, Hadoop, Excel"
req00022,3-5 yrs,Bachelor's,"SQL, Spark"
req00023,2+,None,"Excel, PowerBI, Communication, Spark, R"
req00024,2+,B.Sc.,"Leadership, R, Excel, Tableau"
req00025,2+,MSc,"R, SQL, Spark"
req00026,3-5 yrs,Bachelor's,"Spark, Hadoop, Tableau, Excel"
req00027,1 year,Bachelor's,"Excel, Scala, SQL, PowerBI"
req00028,2+,PhD,"Scala, Spark, Excel"
req00029,None,BS,"R, Communication"
req00030,2+,Bachelor's,"R, Tableau, Communication"
req00031,3-5 yrs,Bachelor's,"Spark, Communication"
req00032,2+,Bachelor's,"R, Communication, Leadership, Spark"
req00033,at least 2,Bachelor's,"SQL, Communication, PowerBI, Python, Scala"
req00034,1 year,None,"SQL, Excel, PowerBI, Spark"
req00035,2+,PhD,"Scala, SQL"
req00036,at least 2,BS,"Python, Leadership, Communication, PowerBI, Spark"
req00037,3-5 yrs,None,"R, PowerBI, Tableau, Scala, Leadership"
req00038,2+,None,"Tableau, Spark"
req00039,at least 2,None,"SQL, Python, Leadership, PowerBI"
req00040,None,None,"R, Leadership, Communication, SQL, Hadoop"
req00041,at least 2,Bachelor's,"Scala, Spark, Tableau, Excel, Communication"
req00042,None,BS,"Leadership, Spark, PowerBI, Scala, Tableau"
req00043,3-5 yrs,PhD,"Leadership, Scala"
req00044,at least 2,B.Sc.,"PowerBI, Tableau, Spark, R, Hadoop"
req00045,3-5 yrs,B.Sc.,"Scala, PowerBI"
req00046,2+,None,"R, Scala, Spark"
req00047,None,BS,"Python, Excel, Scala, Hadoop, R"
req00048,1 year,None,"Scala, Excel, Tableau"
req00049,at least 2,PhD,"PowerBI, Leadership"
