job_id,job_title,company_id,post_date,job_type,city_location,requirements_id,salary_id
j00000,Data Engineer,comp164,02-26-2025,Part-Time,Remote,req00000,sal00000
j00001,Data Analyst,comp029,06-24-2024,F/T,"Edmonton, AB",req00001,sal00001
j00002,Data Analyst,comp007,03-24-2025,F/T,"Ottawa, ON",req00002,sal00002
j00003,Data Engineer,comp190,08-22-2024,Full Time,"Calgary, AB",req00003,sal00003
j00004,Machine Learning Engineer,comp071,2024/11/30,Full Time,"Edmonton, AB",req00004,sal00004
j00005,Statistician,comp063,2025/03/07,FT,Remote,req00005,sal00005
j00006,Data Engineer,comp058,01-04-2025,F/T,"Calgary, AB",req00006,sal00006
j00007,Machine Learning Engineer,comp036,2024/09/02,Internship,"Toronto, ON",req00007,sal00007
j00008,BI Developer,comp189,2024/11/11,Internship,"Ottawa, ON",req00008,sal00008
j00009,AI Specialist,comp027,01-26-2025,F/T,"Calgary, AB",req00009,sal00009
j00010,BI Developer,comp174,05-30-2024,Internship,Remote,req00010,sal00010
j00011,Analytics Manager,comp190,06-30-2024,Part-Time,"Calgary, AB",req00011,sal00011
j00012,AI Specialist,comp140,Jun 30 2024,Part-Time,"Calgary, AB",req00012,sal00012
j00013,Data Engineer,comp023,05-28-2024,Full Time,"Edmonton, AB",req00013,sal00013
j00014,BI Developer,comp152,10-01-2024,Full Time,"Ottawa, ON",req00014,sal00014
j00015,AI Specialist,comp109,Apr 12 2024,Full Time,"Edmonton, AB",req00015,sal00015
j00016,Statistician,comp009,03-30-2025,FT,"Montreal, QC",req00016,sal00016
j00017,Data Engineer,comp008,03-07-2025,Internship,"Vancouver, BC",req00017,sal00017
j00018,Analytics Manager,comp024,Feb 26 2025,F/T,Remote,req00018,sal00018
j00019,Data Scientist,comp056,10-22-2024,F/T,"Vancouver, BC",req00019,sal00019
j00020,AI Specialist,comp060,Feb 08 2025,Contract,"Toronto, ON",req00020,sal00020
j00021,AI Specialist,comp130,05-06-2024,Internship,"Calgary, AB",req00021,sal00021
j00022,Machine Learning Engineer,comp155,Dec 29 2024,Internship,"Montreal, QC",req00022,sal00022
j00023,Data Analyst,comp007,Jun 27 2024,FT,"Toronto, ON",req00023,sal00023
j00024,Data Scientist,comp144,02-18-2025,Full Time,"Edmonton, AB",req00024,sal00024
j00025,Data Analyst,comp051,06-05-2024,Part-Time,"Edmonton, AB",req00025,sal00025
j00026,Database Admin,comp184,Nov 25 2024,Contract,"Vancouver, BC",req00026,sal00026
j00027,Statistician,comp167,11-18-2024,Part-Time,"Vancouver, BC",req00027,sal00027
j00028,Data Scientist,comp180,Dec 15 2024,Full Time,"Edmonton, AB",req00028,sal00028
j00029,BI Developer,comp140,Sep 17 2024,F/T,"Toronto, ON",req00029,sal00029
j00030,Data Analyst,comp108,02-02-2025,Full Time,"Ottawa, ON",req00030,sal00030
j00031,Database Admin,comp057,02-06-2025,FT,"Vancouver, BC",req00031,sal00031
j00032,Data Scientist,comp115,Apr 12 2024,Contract,"Calgary, AB",req00032,sal00032
j00033,Data Analyst,comp151,2024/08/16,Full Time,"Vancouver, BC",req00033,sal00033
j00034,Statistician,comp072,02-25-2025,F/T,Remote,req00034,sal00034
j00035,Statistician,comp002,07-10-2024,Internship,"Montreal, QC",req00035,sal00035
j00036,Data Analyst,comp195,Jun 13 2024,F/T,"Edmonton, AB",req00036,sal00036
j00037,AI Specialist,comp041,Jan 24 2025,FT,"Ottawa, ON",req00037,sal00037
j00038,Statistician,comp179,2024/07/31,F/T,"Toronto, ON",req00038,sal00038
j00039,Database Admin,comp109,03-05-2025,Internship,"Toronto, ON",req00039,sal00039
j00040,Statistician,comp088,07-08-2024,Full Time,Remote,req00040,sal00040
j00041,Database Admin,comp072,09-13-2024,Part-Time,"Montreal, QC",req00041,sal00041
j00042,Statistician,comp040,08-09-2024,FT,"Toronto, ON",req00042,sal00042
j00043,Database Admin,comp056,Oct 27 2024,Part-Time,"Montreal, QC",req00043,sal00043
j00044,AI Specialist,comp196,2024/08/14,Part-Time,"Montreal, QC",req00044,sal00044
j00045,Database Admin,comp087,Jun 24 2024,FT,"Vancouver, BC",req00045,sal00045
j00046,Statistician,comp027,Aug 19 2024,Contract,"Edmonton, AB",req00046,sal00046
j00047,Analytics Manager,comp024,2024/05/18,Internship,"Vancouver, BC",req00047,sal00047
j00048,Data Engineer,comp098,03-11-2025,Contract,"Montreal, QC",req00048,sal00048
j00049,Data Engineer,comp025,2024/11/30,Contract,"Calgary, AB",req00049,sal00049
j00050,Machine Learning Engineer,comp092,07-14-2024,Contract,"Edmonton, AB",req00050,sal00050
j00051,Data Scientist,comp089,2024/09/25,Full Time,"Edmonton, AB",req00051,sal00051
j00052,Statistician,comp155,07-01-2024,Full Time,"Edmonton, AB",req00052,sal00052
j00053,BI Developer,comp068,01-24-2025,FT,"Edmonton, AB",req00053,sal00053
j00054,Database Admin,comp012,2025/01/07,FT,"Montreal, QC",req00054,sal00054
j00055,Database Admin,comp187,Jun 03 2024,Full Time,"Calgary, AB",req00055,sal00055
j00056,Statistician,comp118,Jan 23 2025,F/T,"Ottawa, ON",req00056,sal00056
j00057,BI Developer,comp138,2024/09/03,Part-Time,"Vancouver, BC",req00057,sal00057
j00058,Database Admin,comp032,Oct 25 2024,Full Time,"Edmonton, AB",req00058,sal00058
j00059,Database Admin,comp097,Nov 24 2024,Contract,"Montreal, QC",req00059,sal00059
j00060,Database Admin,comp021,07-20-2024,Part-Time,"Vancouver, BC",req00060,sal00060
j00061,Machine Learning Engineer,comp142,May 01 2024,Part-Time,"Edmonton, AB",req00061,sal00061
j00062,Machine Learning Engineer,comp076,Apr 07 2024,Contract,"Montreal, QC",req00062,sal00062
j00063,BI Developer,comp161,Jun 14 2024,Part-Time,Remote,req00063,sal00063
j00064,BI Developer,comp159,Apr 16 2024,FT,"Vancouver, BC",req00064,sal00064
j00065,Data Scientist,comp093,01-08-2025,Part-Time,Remote,req00065,sal00065
j00066,Machine Learning Engineer,comp148,02-16-2025,F/T,"Calgary, AB",req00066,sal00066
j00067,Statistician,comp050,2024/07/01,Contract,"Vancouver, BC",req00067,sal00067
j00068,BI Developer,comp181,May 23 2024,Contract,"Montreal, QC",req00068,sal00068
j00069,Machine Learning Engineer,comp018,Nov 19 2024,F/T,"Ottawa, ON",req00069,sal00069
j00070,BI Developer,comp012,11-03-2024,F/T,"Edmonton, AB",req00070,sal00070
j00071,Statistician,comp170,02-12-2025,Contract,"Toronto, ON",req00071,sal00071
j00072,Data Scientist,comp059,2025/03/29,FT,"Toronto, ON",req00072,sal00072
j00073,BI Developer,comp198,2024/08/21,Full Time,Remote,req00073,sal00073
j00074,Machine Learning Engineer,comp075,06-22-2024,F/T,"Montreal, QC",req00074,sal00074
j00075,Machine Learning Engineer,comp021,01-24-2025,Full Time,Remote,req00075,sal00075
j00076,Machine Learning Engineer,comp060,05-29-2024,Contract,"Vancouver, BC",req00076,sal00076
j00077,Data Engineer,comp026,Sep 12 2024,Full Time,"Ottawa, ON",req00077,sal00077
j00078,Data Analyst,comp098,2024/11/13,FT,"Montreal, QC",req00078,sal00078
j00079,Data Scientist,comp072,06-03-2024,Full Time,"Edmonton, AB",req00079,sal00079
j00080,BI Developer,comp117,Jul 26 2024,FT,"Montreal, QC",req00080,sal00080
j00081,Database Admin,comp163,2024/06/15,Contract,"Edmonton, AB",req00081,sal00081
j00082,Machine Learning Engineer,comp094,08-11-2024,Part-Time,"Calgary, AB",req00082,sal00082
j00083,AI Specialist,comp042,2024/06/25,F/T,"Vancouver, BC",req00083,sal00083
j00084,Statistician,comp095,Aug 20 2024,F/T,Remote,req00084,sal00084
j00085,Data Engineer,comp091,2024/09/07,Internship,"Toronto, ON",req00085,sal00085
j00086,Data Scientist,comp054,2024/10/20,Full Time,"Toronto, ON",req00086,sal00086
j00087,Database Admin,comp172,May 11 2024,Contract,"Vancouver, BC",req00087,sal00087
j00088,BI Developer,comp069,Mar 28 2025,Contract,"Vancouver, BC",req00088,sal00088
j00089,Machine Learning Engineer,comp180,04-24-2024,Part-Time,Remote,req00089,sal00089
j00090,AI Specialist,comp175,07-02-2024,FT,"Vancouver, BC",req00090,sal00090
j00091,Analytics Manager,comp166,Oct 24 2024,Part-Time,"Toronto, ON",req00091,sal00091
j00092,AI Specialist,comp019,2025/03/08,Full Time,"Vancouver, BC",req00092,sal00092
j00093,Data Engineer,comp156,2024/09/11,Internship,"Toronto, ON",req00093,sal00093
j00094,Data Engineer,comp163,Oct 30 2024,Part-Time,"Toronto, ON",req00094,sal00094
j00095,Database Admin,comp044,Feb 07 2025,F/T,"Ottawa, ON",req00095,sal00095
