salary_id,salary_range,currency,compensation_type
sal00000,$60k - $80k,CAD$,Hourly
sal00001,$60k - $80k,$CAD,Hourly
sal00002,$60k - $80k,CAD,Annual
sal00003,$60k - $80k,USD,Annual
sal00004,"$90,000 - $120,000",CAD$,Annual
sal00005,50000 - 70000,USD,Hourly
sal00006,"$90,000 - $120,000",$CAD,Hourly
sal00007,$55K to $75K,CAD,Hourly
sal00008,80000 per annum,USD,Hourly
sal00009,80000 per annum,CAD,Hourly
sal00010,35/hr,CAD,Hourly
sal00011,$60k - $80k,CAD,Annual
sal00012,50000 - 70000,CAD,Annual
sal00013,$55K to $75K,$CAD,Hourly
sal00014,50000 - 70000,CAD,Annual
sal00015,50000 - 70000,CAD$,Hourly
sal00016,80000 per annum,USD,Annual
sal00017,Negotiable,CAD$,Hourly
sal00018,$60k - $80k,$CAD,Hourly
sal00019,50000 - 70000,CAD$,Hourly
sal00020,"$90,000 - $120,000",CAD,Hourly
sal00021,"$90,000 - $120,000",CAD$,Annual
sal00022,$55K to $75K,CAD$,Annual
sal00023,50000 - 70000,USD,Annual
sal00024,"$90,000 - $120,000",$CAD,Annual
sal00025,$60k - $80k,USD,Hourly
sal00026,80000 per annum,USD,Annual
sal00027,80000 per annum,USD,Hourly
sal00028,$60k - $80k,CAD$,Annual
sal00029,Negotiable,CAD,Hourly
sal00030,50000 - 70000,CAD$,Hourly
sal00031,"$90,000 - $120,000",CAD,Annual
sal00032,$60k - $80k,CAD$,Hourly
sal00033,Negotiable,$CAD,Hourly
sal00034,50000 - 70000,USD,Hourly
sal00035,$60k - $80k,CAD$,Annual
sal00036,$55K to $75K,USD,Hourly
sal00037,50000 - 70000,CAD$,Hourly
sal00038,80000 per annum,USD,Annual
sal00039,$60k - $80k,CAD$,Hourly
sal00040,"$90,000 - $120,000",CAD$,Annual
sal00041,"$90,000 - $120,000",USD,Annual
sal00042,35/hr,CAD,Annual
sal00043,$60k - $80k,USD,Hourly
sal00044,35/hr,CAD$,Annual
sal00045,35/hr,CAD,Hourly
sal00046,50000 - 70000,CAD,Annual
sal00047,$55K to $75K,$CAD,Hourly
sal00048,50000 - 70000,CAD,Annual
sal00049,$55K to $75K,CAD$,Annual
sal00050,35/hr,$CAD,Hourly
sal00051,"$90,000 - $120,000",$CAD,Hourly
sal00052,$55K to $75K,USD,Annual
sal00053,$55K to $75K,CAD,Hourly
sal00054,$60k - $80k,CAD$,Annual
sal00055,50000 - 70000,$CAD,Annual
sal00056,35/hr,CAD,Hourly
sal00057,$60k - $80k,USD,Annual
sal00058,$55K to $75K,CAD$,Annual
sal00059,"$90,000 - $120,000",CAD$,Annual
sal00060,$60k - $80k,$CAD,Hourly
sal00061,80000 per annum,CAD,Hourly
sal00062,"$90,000 - $120,000",CAD$,Hourly
sal00063,$55K to $75K,$CAD,Hourly
sal00064,50000 - 70000,CAD$,Annual
sal00065,35/hr,CAD,Annual
sal00066,Negotiable,$CAD,Annual
sal00067,80000 per annum,CAD$,Hourly
sal00068,50000 - 70000,$CAD,Annual
sal00069,50000 - 70000,USD,Hourly
sal00070,Negotiable,USD,Hourly
sal00071,$55K to $75K,CAD,Hourly
sal00072,80000 per annum,USD,Annual
sal00073,50000 - 70000,CAD,Hourly
sal00074,50000 - 70000,CAD$,Hourly
sal00075,50000 - 70000,CAD$,Annual
sal00076,$60k - $80k,CAD$,Annual
sal00077,50000 - 70000,$CAD,Hourly
sal00078,Negotiable,$CAD,Hourly
sal00079,80000 per annum,$CAD,Annual
sal00080,35/hr,CAD$,Annual
sal00081,$60k - $80k,CAD,Annual
sal00082,50000 - 70000,USD,Annual
sal00083,"$90,000 - $120,000",CAD$,Hourly
sal00084,"$90,000 - $120,000",CAD,Annual
sal00085,$60k - $80k,$CAD,Annual
sal00086,35/hr,CAD,Hourly
sal00087,$60k - $80k,$CAD,Annual
sal00088,35/hr,CAD$,Annual
sal00089,"$90,000 - $120,000",CAD$,Annual
sal00090,"$90,000 - $120,000",CAD$,Annual
sal00091,$55K to $75K,$CAD,Hourly
sal00092,$60k - $80k,USD,Annual
sal00093,Negotiable,USD,Annual
sal00094,50000 - 70000,CAD$,Hourly
sal00095,Negotiable,USD,Annual
sal00096,80000 per annum,$CAD,Hourly
sal00097,80000 per annum,USD,Hourly
sal00098,50000 - 70000,USD,Annual
sal00099,$60k - $80k,CAD$,Annual
sal00100,$60k - $80k,USD,Hourly
sal00101,$55K to $75K,CAD$,Annual
sal00102,Negotiable,CAD,Annual
sal00103,35/hr,CAD$,Annual
sal00104,35/hr,CAD,Annual
sal00105,Negotiable,CAD$,Hourly
sal00106,50000 - 70000,$CAD,Annual
sal00107,35/hr,CAD,Annual
sal00108,$55K to $75K,USD,Hourly
sal00109,35/hr,$CAD,Annual
sal00110,$55K to $75K,$CAD,Hourly
sal00111,$60k - $80k,USD,Annual
sal00112,"$90,000 - $120,000",$CAD,Annual
sal00113,$60k - $80k,$CAD,Hourly
sal00114,$55K to $75K,CAD,Annual
sal00115,$55K to $75K,USD,Annual
sal00116,Negotiable,$CAD,Annual
sal00117,Negotiable,CAD,Annual
sal00118,$60k - $80k,CAD,Annual
sal00119,50000 - 70000,$CAD,Annual
sal00120,35/hr,CAD,Annual
sal00121,$60k - $80k,$CAD,Annual
sal00122,35/hr,USD,Annual
sal00123,"$90,000 - $120,000",CAD$,Hourly
sal00124,50000 - 70000,CAD$,Annual
sal00125,Negotiable,USD,Hourly
sal00126,35/hr,CAD$,Hourly
sal00127,Negotiable,CAD$,Annual
sal00128,50000 - 70000,CAD,Hourly
sal00129,50000 - 70000,CAD,Hourly
sal00130,35/hr,$CAD,Hourly
sal00131,80000 per annum,CAD$,Annual
sal00132,35/hr,$CAD,Annual
sal00133,"$90,000 - $120,000",USD,Hourly
sal00134,80000 per annum,CAD,Hourly
sal00135,"$90,000 - $120,000",CAD$,Annual
sal00136,80000 per annum,USD,Annual
sal00137,50000 - 70000,CAD$,Hourly
sal00138,"$90,000 - $120,000",CAD,Hourly
sal00139,$55K to $75K,CAD$,Hourly
sal00140,$60k - $80k,CAD,Annual
sal00141,"$90,000 - $120,000",$CAD,Hourly
sal00142,$55K to $75K,$CAD,Hourly
sal00143,50000 - 70000,CAD,Hourly
sal00144,$60k - $80k,CAD,Annual
sal00145,50000 - 70000,CAD,Annual
sal00146,$60k - $80k,CAD,Hourly
sal00147,80000 per annum,USD,Hourly
sal00148,Negotiable,CAD$,Hourly
sal00149,"$90,000 - $120,000",CAD$,Hourly
sal00150,$60k - $80k,CAD,Annual
sal00151,$55K to $75K,$CAD,Annual
sal00152,Negotiable,$CAD,Hourly
sal00153,Negotiable,CAD$,Annual
sal00154,Negotiable,CAD$,Annual
sal00155,$60k - $80k,CAD,Hourly
sal00156,$55K to $75K,CAD$,Hourly
sal00157,50000 - 70000,$CAD,Hourly
sal00158,80000 per annum,$CAD,Annual
sal00159,"$90,000 - $120,000",CAD$,Hourly
sal00160,80000 per annum,USD,Annual
sal00161,80000 per annum,CAD,Annual
sal00162,Negotiable,CAD,Annual
sal00163,"$90,000 - $120,000",$CAD,Hourly
sal00164,80000 per annum,CAD$,Annual
sal00165,50000 - 70000,CAD$,Annual
sal00166,35/hr,CAD$,Hourly
sal00167,$55K to $75K,$CAD,Annual
sal00168,$60k - $80k,USD,Annual
sal00169,50000 - 70000,USD,Hourly
sal00170,$60k - $80k,CAD$,Annual
sal00171,80000 per annum,USD,Hourly
sal00172,"$90,000 - $120,000",CAD$,Annual
sal00173,$60k - $80k,CAD$,Hourly
sal00174,"$90,000 - $120,000",USD,Annual
sal00175,"$90,000 - $120,000",CAD,Hourly
sal00176,$60k - $80k,$CAD,Annual
sal00177,Negotiable,$CAD,Hourly
sal00178,"$90,000 - $120,000",USD,Hourly
sal00179,35/hr,USD,Hourly
sal00180,35/hr,CAD$,Hourly
sal00181,50000 - 70000,CAD$,Annual
sal00182,50000 - 70000,CAD$,Hourly
sal00183,$55K to $75K,USD,Annual
sal00184,35/hr,$CAD,Annual
sal00185,50000 - 70000,CAD,Annual
sal00186,80000 per annum,$CAD,Annual
sal00187,$55K to $75K,USD,Hourly
sal00188,$55K to $75K,$CAD,Hourly
sal00189,$60k - $80k,CAD$,Hourly
sal00190,"$90,000 - $120,000",CAD$,Hourly
sal00191,35/hr,USD,Hourly
sal00192,$60k - $80k,$CAD,Hourly
sal00193,80000 per annum,CAD$,Hourly
sal00194,50000 - 70000,USD,Hourly
sal00195,50000 - 70000,$CAD,Hourly
sal00196,"$90,000 - $120,000",$CAD,Annual
sal00197,"$90,000 - $120,000",$CAD,Annual
sal00198,Negotiable,USD,Annual
sal00199,50000 - 70000,CAD$,Hourly
sal00200,$60k - $80k,CAD$,Annual
sal00201,50000 - 70000,CAD,Annual
sal00202,80000 per annum,$CAD,Annual
sal00203,80000 per annum,CAD,Hourly
sal00204,35/hr,$CAD,Annual
sal00205,80000 per annum,CAD$,Hourly
sal00206,50000 - 70000,CAD$,Annual
sal00207,$60k - $80k,USD,Hourly
sal00208,Negotiable,$CAD,Hourly
sal00209,80000 per annum,CAD,Hourly
sal00210,Negotiable,CAD$,Hourly
sal00211,35/hr,USD,Hourly
sal00212,$60k - $80k,CAD$,Annual
