borrower_id,age,gender,education_level,marital_status,state,credit_score,created_at
B0001,59,Male,High School,Single,TX,606,2021-01-01
B0002,49,Male,High School,Married,TX,743,2021-01-02
B0003,35,Female,Bachelor,Married,PA,611,2021-01-03
B0004,63,Male,Bachelor,Single,NC,806,2021-01-04
B0005,28,Female,PhD,Married,CA,714,2021-01-05
B0006,41,Female,High School,Single,NC,620,2021-01-06
B0007,59,Male,Master,Divorced,NC,832,2021-01-07
B0008,39,Male,High School,Married,NC,611,2021-01-08
B0009,43,Male,Master,Married,IL,719,2021-01-09
B0010,31,Female,High School,Single,NC,683,2021-01-10
B0011,31,Male,High School,Divorced,FL,764,2021-01-11
B0012,44,Male,Master,Single,TX,784,2021-01-12
B0013,56,Female,Associate,Single,PA,662,2021-01-13
B0014,60,Male,PhD,Married,FL,599,2021-01-14
B0015,44,Male,Bachelor,Single,PA,696,2021-01-15
B0016,23,Male,Associate,Widowed,NY,605,2021-01-16
B0017,42,Male,High School,Married,PA,821,2021-01-17
B0018,22,Female,Associate,Single,TX,670,2021-01-18
B0019,44,Male,Bachelor,Married,TX,630,2021-01-19
B0020,64,Female,Master,Widowed,NC,674,2021-01-20
B0021,50,Male,Master,Divorced,OH,552,2021-01-21
B0022,58,Female,Master,Married,NY,582,2021-01-22
B0023,22,Male,Bachelor,Divorced,CA,756,2021-01-23
B0024,41,Male,Bachelor,Widowed,GA,607,2021-01-24
B0025,53,Non-binary,Master,Married,PA,576,2021-01-25
B0026,32,Female,High School,Single,OH,702,2021-01-26
B0027,42,Female,Associate,Married,NC,754,2021-01-27
B0028,64,Male,Master,Divorced,IL,717,2021-01-28
B0029,45,Male,High School,Single,CA,739,2021-01-29
B0030,69,Male,Master,Divorced,MI,599,2021-01-30
B0031,47,Female,Bachelor,Single,OH,546,2021-01-31
B0032,62,Male,Master,Single,IL,780,2021-02-01
B0033,48,Female,Master,Married,NY,634,2021-02-02
B0034,36,Male,High School,Single,NC,639,2021-02-03
B0035,35,Female,Bachelor,Widowed,CA,766,2021-02-04
B0036,67,Male,Associate,Divorced,CA,704,2021-02-05
B0037,71,Female,Bachelor,Divorced,CA,696,2021-02-06
B0038,64,Male,Bachelor,Married,NY,833,2021-02-07
B0039,23,Male,Bachelor,Single,PA,608,2021-02-08
B0040,57,Female,Bachelor,Married,MI,734,2021-02-09
B0041,71,Male,Bachelor,Married,NY,664,2021-02-10
B0042,27,Male,Bachelor,Married,GA,681,2021-02-11
B0043,41,Female,High School,Single,MI,782,2021-02-12
B0044,29,Female,Master,Married,TX,700,2021-02-13
B0045,59,Male,High School,Married,NC,703,2021-02-14
B0046,38,Male,High School,Widowed,NY,745,2021-02-15
B0047,24,Male,High School,Divorced,IL,630,2021-02-16
B0048,45,Female,High School,Married,MI,592,2021-02-17
B0049,34,Male,Bachelor,Married,GA,576,2021-02-18
B0050,70,Male,Bachelor,Married,TX,502,2021-02-19
B0051,29,Male,Master,Single,PA,824,2021-02-20
B0052,46,Male,High School,Divorced,IL,571,2021-02-21
B0053,22,Female,PhD,Divorced,MI,642,2021-02-22
B0054,40,Male,Master,Married,NC,637,2021-02-23
B0055,48,Female,Bachelor,Married,IL,684,2021-02-24
B0056,67,Male,Associate,Single,TX,725,2021-02-25
B0057,27,Male,Associate,Married,IL,728,2021-02-26
B0058,64,Male,High School,Single,FL,613,2021-02-27
B0059,28,Male,Bachelor,Divorced,OH,646,2021-02-28
B0060,67,Female,Associate,Single,PA,682,2021-03-01
B0061,55,Female,Master,Single,TX,640,2021-03-02
B0062,34,Male,High School,Divorced,IL,788,2021-03-03
B0063,37,Female,Master,Married,OH,699,2021-03-04
B0064,56,Male,Master,Single,OH,718,2021-03-05
B0065,70,Female,Master,Single,IL,713,2021-03-06
B0066,60,Male,Master,Single,NC,753,2021-03-07
B0067,24,Female,Master,Married,FL,674,2021-03-08
B0068,22,Male,High School,Single,NY,556,2021-03-09
B0069,26,Male,High School,Married,FL,691,2021-03-10
B0070,62,Male,Bachelor,Widowed,IL,607,2021-03-11
B0071,24,Male,Associate,Single,PA,617,2021-03-12
B0072,49,Male,Bachelor,Divorced,NY,706,2021-03-13
B0073,38,Male,Bachelor,Widowed,TX,759,2021-03-14
B0074,46,Non-binary,Master,Single,FL,661,2021-03-15
B0075,64,Male,Bachelor,Divorced,IL,684,2021-03-16
B0076,54,Male,Master,Married,FL,796,2021-03-17
B0077,30,Female,PhD,Divorced,NY,679,2021-03-18
B0078,56,Female,Bachelor,Married,GA,850,2021-03-19
B0079,34,Male,Bachelor,Married,MI,705,2021-03-20
B0080,51,Male,Bachelor,Married,FL,519,2021-03-21
B0081,68,Female,Bachelor,Divorced,TX,720,2021-03-22
B0082,35,Male,Bachelor,Married,TX,690,2021-03-23
B0083,28,Female,Bachelor,Married,CA,763,2021-03-24
B0084,34,Female,Bachelor,Divorced,FL,713,2021-03-25
B0085,43,Male,High School,Single,MI,648,2021-03-26
B0086,60,Male,High School,Single,NC,562,2021-03-27
B0087,41,Female,Bachelor,Single,OH,643,2021-03-28
B0088,36,Male,Bachelor,Single,MI,591,2021-03-29
B0089,65,Female,Bachelor,Single,OH,613,2021-03-30
B0090,38,Female,Master,Divorced,OH,707,2021-03-31
B0091,67,Female,Master,Single,GA,793,2021-04-01
B0092,44,Female,High School,Married,CA,691,2021-04-02
B0093,46,Female,PhD,Single,MI,564,2021-04-03
