credit_history_id,borrower_id,account_type,account_age_months,credit_limit,balance_owed,payment_history_score,num_late_payments,num_derogatory_marks,inquiry_last_6months
CH000001,B0001,Auto Loan,119,2500,19340,Good,1,0,4
CH000002,B0002,Mortgage,196,5000,18099,Fair,2,1,1
CH000003,B0002,Student Loan,169,1000,11199,Fair,0,3,0
CH000004,B0002,Personal Loan,61,25000,6302,Good,3,0,2
CH000005,B0002,Auto Loan,172,10000,19347,Good,2,0,1
CH000006,B0002,Mortgage,204,15000,713,Fair,1,0,7
CH000007,B0003,Credit Card,142,15000,14688,Excellent,0,0,2
CH000008,B0003,Auto Loan,144,15000,23243,Poor,1,2,4
CH000009,B0003,Auto Loan,25,2500,25251,Excellent,0,1,3
CH000010,B0003,Auto Loan,104,15000,27303,Good,0,0,1
CH000011,B0003,Credit Card,195,25000,13870,Excellent,1,1,2
CH000012,B0003,Mortgage,213,50000,6850,Good,10,0,1
CH000013,B0003,Auto Loan,72,2500,13563,Excellent,2,1,3
CH000014,B0004,Mortgage,57,50000,19928,Good,0,0,5
CH000015,B0004,Personal Loan,88,15000,9551,Fair,1,2,6
CH000016,B0004,Personal Loan,147,15000,18284,Good,0,0,7
CH000017,B0004,Mortgage,22,2500,14676,Fair,2,0,2
CH000018,B0004,Auto Loan,122,1000,13342,Excellent,1,1,1
CH000019,B0004,Student Loan,58,25000,12970,Fair,0,1,7
CH000020,B0004,Mortgage,46,15000,28828,Excellent,0,1,0
CH000021,B0005,Personal Loan,218,10000,347,Good,2,0,5
CH000022,B0005,Mortgage,70,15000,28979,Good,1,0,1
CH000023,B0005,Auto Loan,47,5000,11159,Good,0,0,4
CH000024,B0005,Mortgage,92,10000,10928,Excellent,0,3,7
CH000025,B0006,Credit Card,113,5000,2285,Good,0,2,3
CH000026,B0006,Mortgage,14,5000,7843,Good,0,1,6
CH000027,B0006,Personal Loan,186,25000,5289,Fair,2,0,4
CH000028,B0006,Student Loan,139,50000,13860,Excellent,0,0,0
CH000029,B0006,Student Loan,49,50000,14882,Good,0,0,3
CH000030,B0007,Credit Card,136,15000,22483,Excellent,0,0,2
CH000031,B0007,Auto Loan,233,5000,18298,Poor,0,0,6
CH000032,B0007,Mortgage,186,1000,10271,Poor,0,0,7
CH000033,B0008,Mortgage,217,50000,28878,Excellent,0,0,0
CH000034,B0008,Auto Loan,194,10000,29677,Excellent,10,0,0
CH000035,B0008,Auto Loan,140,50000,23383,Good,1,2,7
CH000036,B0008,Credit Card,63,5000,20567,Poor,0,3,6
CH000037,B0008,Credit Card,187,50000,3853,Poor,0,0,2
CH000038,B0008,Mortgage,139,50000,25568,Excellent,0,0,7
CH000039,B0008,Mortgage,98,25000,13017,Good,2,0,4
CH000040,B0009,Personal Loan,82,10000,15880,Good,0,0,4
CH000041,B0009,Personal Loan,238,25000,14713,Excellent,2,0,7
CH000042,B0009,Personal Loan,226,25000,12442,Excellent,0,0,0
CH000043,B0009,Credit Card,238,5000,4075,Good,1,2,5
CH000044,B0009,Personal Loan,128,5000,18181,Excellent,1,2,4
CH000045,B0009,Credit Card,90,5000,4746,Fair,1,0,7
CH000046,B0010,Credit Card,26,2500,13410,Good,2,0,5
CH000047,B0010,Personal Loan,42,25000,17862,Good,0,0,3
CH000048,B0010,Personal Loan,164,15000,9703,Poor,0,0,2
CH000049,B0010,Credit Card,42,1000,27177,Excellent,0,2,3
CH000050,B0010,Auto Loan,81,1000,26519,Fair,0,1,7
CH000051,B0011,Student Loan,43,10000,24206,Good,0,0,6
CH000052,B0011,Personal Loan,112,25000,28208,Good,0,0,6
CH000053,B0011,Auto Loan,68,10000,24602,Excellent,1,0,0
CH000054,B0011,Personal Loan,62,10000,23402,Excellent,0,0,4
CH000055,B0011,Mortgage,238,10000,20815,Good,0,0,5
CH000056,B0011,Mortgage,154,25000,27946,Excellent,1,0,3
CH000057,B0011,Auto Loan,87,5000,23880,Excellent,0,1,6
CH000058,B0012,Auto Loan,110,1000,1860,Good,0,0,5
CH000059,B0012,Student Loan,93,50000,19500,Fair,0,0,0
CH000060,B0012,Credit Card,123,1000,12674,Excellent,0,1,5
CH000061,B0012,Auto Loan,77,10000,9432,Good,1,0,0
CH000062,B0012,Auto Loan,153,1000,11310,Excellent,0,0,2
CH000063,B0012,Student Loan,159,5000,27676,Excellent,0,3,2
CH000064,B0012,Student Loan,190,5000,26482,Good,2,1,0
CH000065,B0013,Auto Loan,236,5000,8437,Good,0,0,7
CH000066,B0013,Personal Loan,40,5000,11391,Fair,0,0,6
CH000067,B0013,Auto Loan,29,15000,7391,Excellent,0,0,1
CH000068,B0013,Personal Loan,53,50000,5120,Fair,0,0,2
CH000069,B0014,Student Loan,49,25000,14497,Good,0,2,1
CH000070,B0014,Auto Loan,114,2500,1058,Poor,0,2,2
CH000071,B0015,Auto Loan,200,25000,5660,Excellent,0,1,3
CH000072,B0015,Auto Loan,15,50000,17718,Excellent,0,0,1
CH000073,B0015,Mortgage,161,1000,15003,Good,3,3,2
CH000074,B0015,Mortgage,181,50000,29072,Excellent,1,0,5
CH000075,B0015,Personal Loan,44,2500,2400,Good,1,0,2
CH000076,B0015,Student Loan,79,25000,3536,Good,0,2,3
CH000077,B0016,Credit Card,97,1000,5897,Good,2,0,3
CH000078,B0016,Personal Loan,210,5000,25279,Good,0,1,1
CH000079,B0016,Student Loan,65,2500,9465,Fair,1,1,6
CH000080,B0017,Student Loan,225,15000,3439,Good,0,1,6
CH000081,B0018,Credit Card,35,10000,15883,Good,1,0,1
CH000082,B0018,Student Loan,144,15000,602,Fair,0,0,7
CH000083,B0018,Credit Card,76,25000,7963,Good,0,0,6
CH000084,B0018,Student Loan,40,50000,22829,Good,0,0,7
CH000085,B0019,Student Loan,169,5000,12612,Excellent,0,0,4
CH000086,B0020,Credit Card,83,10000,12762,Good,0,0,6
CH000087,B0020,Credit Card,219,50000,12846,Excellent,2,0,3
CH000088,B0020,Auto Loan,155,15000,29952,Excellent,0,0,6
CH000089,B0020,Personal Loan,228,50000,26170,Good,0,2,4
CH000090,B0020,Auto Loan,10,1000,15021,Fair,0,0,3
CH000091,B0020,Student Loan,31,15000,16236,Good,0,0,1
CH000092,B0021,Personal Loan,232,2500,28932,Poor,0,0,7
CH000093,B0021,Student Loan,25,2500,24019,Good,0,0,2
CH000094,B0021,Student Loan,237,25000,19819,Excellent,1,1,3
CH000095,B0022,Personal Loan,174,2500,7035,Good,1,0,5
CH000096,B0022,Student Loan,38,1000,7979,Excellent,2,0,7
CH000097,B0022,Mortgage,172,15000,23063,Poor,0,0,5
CH000098,B0022,Auto Loan,85,5000,29983,Excellent,0,0,7
CH000099,B0022,Mortgage,81,5000,11429,Good,5,0,6
CH000100,B0022,Personal Loan,122,25000,16628,Excellent,1,1,5
CH000101,B0023,Credit Card,199,10000,9617,Excellent,0,3,7
CH000102,B0023,Personal Loan,15,15000,24240,Good,0,0,3
CH000103,B0023,Personal Loan,24,50000,26331,Excellent,0,0,1
CH000104,B0023,Student Loan,51,5000,4621,Fair,0,0,4
CH000105,B0023,Auto Loan,168,50000,11596,Excellent,0,2,1
CH000106,B0024,Mortgage,64,50000,22830,Good,0,0,1
CH000107,B0024,Credit Card,38,1000,14269,Good,0,0,5
CH000108,B0024,Student Loan,222,50000,15619,Excellent,0,1,6
CH000109,B0025,Student Loan,14,50000,24424,Excellent,5,0,3
CH000110,B0025,Credit Card,135,15000,11901,Fair,2,0,2
CH000111,B0025,Personal Loan,141,10000,8744,Excellent,0,0,7
CH000112,B0025,Auto Loan,133,25000,19160,Poor,1,1,3
CH000113,B0026,Mortgage,42,1000,9487,Good,1,0,5
CH000114,B0027,Credit Card,28,25000,12091,Excellent,0,1,5
CH000115,B0027,Auto Loan,185,15000,8711,Good,0,0,3
CH000116,B0027,Credit Card,232,25000,3093,Fair,0,0,4
CH000117,B0027,Personal Loan,33,2500,6227,Excellent,0,0,1
CH000118,B0027,Personal Loan,73,2500,5289,Good,0,0,5
CH000119,B0027,Student Loan,20,50000,23930,Good,0,0,4
CH000120,B0028,Personal Loan,142,50000,24047,Good,0,0,4
CH000121,B0029,Credit Card,59,25000,3932,Good,1,0,5
CH000122,B0029,Personal Loan,140,10000,10412,Fair,1,0,2
CH000123,B0029,Student Loan,129,50000,17997,Fair,1,0,2
CH000124,B0029,Credit Card,162,5000,5695,Excellent,0,0,3
CH000125,B0029,Personal Loan,90,15000,25360,Good,1,0,1
CH000126,B0029,Student Loan,66,1000,23672,Fair,1,0,0
CH000127,B0029,Student Loan,206,5000,29764,Good,0,0,0
CH000128,B0030,Credit Card,134,15000,12269,Excellent,0,1,5
CH000129,B0030,Mortgage,156,2500,22578,Fair,0,0,2
CH000130,B0030,Auto Loan,224,1000,2243,Fair,0,0,6
CH000131,B0031,Student Loan,31,2500,757,Good,0,0,1
CH000132,B0031,Credit Card,155,15000,22923,Excellent,0,0,5
CH000133,B0032,Auto Loan,181,10000,12552,Excellent,0,0,3
CH000134,B0032,Auto Loan,39,2500,815,Good,0,0,6
CH000135,B0033,Credit Card,151,25000,5526,Excellent,0,2,4
CH000136,B0033,Student Loan,85,50000,20293,Excellent,0,0,0
CH000137,B0033,Auto Loan,214,5000,2460,Good,0,0,6
CH000138,B0033,Auto Loan,181,10000,10390,Excellent,3,1,5
CH000139,B0033,Personal Loan,119,5000,17088,Good,1,0,5
CH000140,B0033,Personal Loan,193,5000,28180,Good,0,0,1
CH000141,B0033,Personal Loan,222,10000,18107,Poor,2,0,1
CH000142,B0034,Student Loan,100,5000,13478,Fair,0,0,0
CH000143,B0034,Personal Loan,70,25000,2628,Good,0,1,3
CH000144,B0034,Mortgage,117,1000,12186,Good,1,3,7
CH000145,B0034,Student Loan,52,2500,4348,Good,1,2,0
CH000146,B0034,Personal Loan,16,2500,5487,Good,1,2,0
CH000147,B0034,Student Loan,138,10000,11158,Good,0,0,2
CH000148,B0035,Auto Loan,53,15000,17434,Good,0,0,4
CH000149,B0035,Auto Loan,119,15000,13463,Good,0,0,4
CH000150,B0036,Auto Loan,71,50000,22384,Excellent,1,1,3
CH000151,B0036,Personal Loan,80,15000,24233,Excellent,0,0,1
CH000152,B0036,Credit Card,203,2500,28109,Fair,0,3,4
CH000153,B0036,Auto Loan,214,5000,27754,Excellent,0,0,5
CH000154,B0036,Personal Loan,29,10000,21565,Excellent,0,0,1
CH000155,B0037,Mortgage,181,15000,12207,Excellent,0,0,1
CH000156,B0037,Credit Card,189,2500,12936,Fair,1,0,4
CH000157,B0037,Credit Card,94,50000,17155,Excellent,3,1,5
CH000158,B0037,Mortgage,145,25000,6579,Excellent,0,0,6
CH000159,B0037,Student Loan,147,25000,642,Good,0,1,5
CH000160,B0037,Mortgage,232,10000,949,Poor,5,0,2
CH000161,B0037,Mortgage,37,5000,9839,Excellent,0,0,5
CH000162,B0038,Student Loan,195,2500,14690,Good,0,1,2
CH000163,B0038,Mortgage,176,10000,2058,Fair,0,1,1
CH000164,B0038,Mortgage,8,10000,6299,Excellent,0,1,7
CH000165,B0038,Student Loan,144,10000,666,Good,0,0,2
CH000166,B0038,Student Loan,154,25000,158,Good,0,0,0
CH000167,B0039,Student Loan,129,50000,2526,Fair,0,1,1
CH000168,B0039,Student Loan,43,5000,11802,Fair,0,0,6
CH000169,B0039,Mortgage,8,2500,24014,Excellent,2,1,7
CH000170,B0040,Personal Loan,69,2500,5645,Excellent,1,1,7
CH000171,B0040,Personal Loan,61,1000,2179,Excellent,0,0,5
CH000172,B0040,Personal Loan,233,25000,16740,Fair,0,1,3
CH000173,B0040,Personal Loan,211,10000,14379,Good,1,1,4
CH000174,B0040,Auto Loan,166,15000,17871,Poor,3,1,5
CH000175,B0041,Student Loan,233,1000,7715,Fair,0,0,7
CH000176,B0041,Personal Loan,195,2500,2369,Fair,0,0,7
CH000177,B0041,Personal Loan,43,5000,23040,Good,1,0,7
CH000178,B0042,Credit Card,13,5000,14252,Fair,0,2,1
CH000179,B0042,Personal Loan,87,5000,1242,Excellent,5,1,1
CH000180,B0042,Credit Card,48,5000,28287,Good,0,0,4
CH000181,B0042,Auto Loan,75,25000,18858,Good,0,1,7
CH000182,B0042,Mortgage,223,5000,13786,Fair,2,0,7
CH000183,B0042,Mortgage,117,5000,22745,Excellent,2,0,4
CH000184,B0042,Auto Loan,78,10000,25274,Excellent,2,0,2
CH000185,B0043,Mortgage,30,25000,5783,Excellent,0,1,1
CH000186,B0043,Personal Loan,165,2500,28767,Good,1,1,7
CH000187,B0043,Personal Loan,209,50000,8075,Good,0,1,3
CH000188,B0043,Credit Card,120,5000,22152,Good,0,0,3
CH000189,B0043,Mortgage,143,2500,13254,Excellent,1,1,0
CH000190,B0043,Mortgage,219,50000,24824,Fair,0,0,6
CH000191,B0043,Mortgage,175,5000,20058,Fair,0,0,0
CH000192,B0044,Credit Card,154,10000,27956,Good,0,1,3
CH000193,B0044,Credit Card,54,2500,22150,Good,0,0,7
CH000194,B0044,Personal Loan,76,15000,27959,Good,1,0,5
