employment_id,borrower_id,employment_type,employer_name,employment_length_years,annual_income,monthly_income
E0001,B0001,Full-time,EduGroup,13,93780,7815
E0002,B0002,Full-time,GovernmentOrg,12,43780,3648
E0003,B0003,Full-time,GovernmentOrg,4,82494,6874
E0004,B0004,Full-time,EduGroup,5,89310,7442
E0005,B0005,Contract,HealthSys,23,103532,8627
E0006,B0006,Full-time,RetailCo,1,96622,8051
E0007,B0007,Full-time,ManufactureLtd,21,103923,8660
E0008,B0008,Full-time,EduGroup,16,69018,5751
E0009,B0009,Part-time,HealthSys,3,61638,5136
E0010,B0010,Full-time,FreelanceInd,13,63753,5312
E0011,B0011,Full-time,StartupXYZ,9,79988,6665
E0012,B0012,Full-time,GovernmentOrg,2,18000,1500
E0013,B0013,Full-time,StartupXYZ,24,111952,9329
E0014,B0014,Full-time,HealthSys,2,73316,6109
E0015,B0015,Full-time,StartupXYZ,14,59549,4962
E0016,B0016,Full-time,RetailCo,5,18000,1500
E0017,B0017,Full-time,RetailCo,16,70895,5907
E0018,B0018,Full-time,TechCorp,11,66045,5503
E0019,B0019,Self-employed,EduGroup,21,45088,3757
E0020,B0020,Part-time,TechCorp,19,51808,4317
E0021,B0021,Full-time,StartupXYZ,23,71200,5933
E0022,B0022,Full-time,GovernmentOrg,10,54352,4529
E0023,B0023,Contract,HealthSys,24,89156,7429
E0024,B0024,Full-time,ManufactureLtd,3,49536,4128
E0025,B0025,Full-time,StartupXYZ,5,76638,6386
E0026,B0026,Part-time,ManufactureLtd,0,107401,8950
E0027,B0027,Full-time,RetailCo,19,70902,5908
E0028,B0028,Full-time,ManufactureLtd,22,82679,6889
E0029,B0029,Full-time,ManufactureLtd,15,80779,6731
E0030,B0030,Unemployed,GovernmentOrg,0,6363,530
E0031,B0031,Full-time,ManufactureLtd,16,69989,5832
E0032,B0032,Self-employed,StartupXYZ,7,54858,4571
E0033,B0033,Contract,HealthSys,11,76530,6377
E0034,B0034,Full-time,ManufactureLtd,21,63501,5291
E0035,B0035,Full-time,FreelanceInd,20,118382,9865
E0036,B0036,Full-time,ManufactureLtd,9,96334,8027
E0037,B0037,Full-time,ManufactureLtd,14,28416,2368
E0038,B0038,Full-time,TechCorp,8,30085,2507
E0039,B0039,Contract,HealthSys,1,68086,5673
E0040,B0040,Self-employed,StartupXYZ,4,60140,5011
E0041,B0041,Part-time,RetailCo,5,66504,5542
E0042,B0042,Full-time,TechCorp,6,91534,7627
E0043,B0043,Self-employed,StartupXYZ,20,81472,6789
E0044,B0044,Contract,EduGroup,24,81168,6764
E0045,B0045,Self-employed,HealthSys,0,115385,9615
