application_id,borrower_id,application_date,loan_purpose,requested_amount,application_status,loan_term_months,interest_rate_offered
LA00001,B0283,2022-05-09,Debt Consolidation,32877,Rejected,24,16.88
LA00002,B0079,2022-04-01,Business,5118,Approved,48,9.14
LA00003,B0072,2023-08-27,Medical,6081,Approved,48,21.08
LA00004,B0263,2023-07-29,Business,29514,Pending,24,6.04
LA00005,B0191,2022-01-29,Home Improvement,12408,Approved,36,11.33
LA00006,B0367,2023-12-23,Education,4756,Approved,24,9.55
LA00007,B0375,2023-06-08,Medical,8026,Approved,36,11.69
LA00008,B0063,2022-11-29,Home Improvement,18689,Approved,24,18.67
LA00009,B0380,2022-10-24,Medical,7078,Manual Review,60,8.07
LA00010,B0012,2022-05-10,Medical,1451,Approved,48,10.47
LA00011,B0141,2022-10-20,Debt Consolidation,10325,Approved,36,15.45
LA00012,B0254,2022-06-22,Home Improvement,11017,Rejected,36,12.92
LA00013,B0043,2023-12-21,Auto,13458,Pending,60,13.29
LA00014,B0017,2022-01-24,Business,36574,Approved,36,8.16
LA00015,B0063,2022-04-09,Home Improvement,13944,Approved,24,12.18
LA00016,B0253,2023-02-10,Home Improvement,16225,Manual Review,36,17.59
LA00017,B0376,2022-12-22,Debt Consolidation,31083,Rejected,48,5.26
LA00018,B0292,2022-05-19,Auto,13470,Approved,36,9.36
LA00019,B0008,2023-05-18,Home Improvement,73807,Approved,48,5.0
LA00020,B0325,2024-04-05,Other,4861,Approved,60,14.92
LA00021,B0090,2022-06-23,Home Improvement,6327,Approved,60,18.01
LA00022,B0208,2022-01-29,Home Improvement,21832,Approved,60,11.67
LA00023,B0292,2023-05-11,Education,36441,Pending,12,7.98
LA00024,B0284,2023-10-17,Vacation,11377,Approved,36,8.11
LA00025,B0118,2024-04-07,Medical,5952,Rejected,48,11.16
LA00026,B0349,2022-12-17,Home Improvement,54654,Approved,48,11.15
LA00027,B0175,2023-07-08,Other,7087,Rejected,36,16.6
LA00028,B0076,2022-10-26,Debt Consolidation,17522,Rejected,24,9.49
LA00029,B0101,2023-12-21,Business,38227,Approved,48,14.46
LA00030,B0151,2024-04-21,Debt Consolidation,9383,Approved,48,11.13
LA00031,B0400,2022-07-11,Auto,8121,Approved,12,9.15
LA00032,B0270,2023-11-03,Education,8578,Pending,36,11.01
LA00033,B0071,2022-03-05,Home Improvement,27480,Pending,24,14.01
LA00034,B0180,2024-01-25,Business,31198,Approved,36,16.62
LA00035,B0124,2024-02-09,Debt Consolidation,13725,Approved,12,11.37
LA00036,B0381,2023-10-26,Debt Consolidation,60262,Approved,36,7.08
LA00037,B0293,2022-08-03,Medical,13705,Rejected,36,17.0
LA00038,B0285,2024-04-13,Home Improvement,37566,Approved,36,8.46
LA00039,B0195,2022-06-15,Education,9455,Approved,48,13.67
LA00040,B0399,2023-06-27,Debt Consolidation,86422,Approved,48,12.39
LA00041,B0228,2024-06-01,Debt Consolidation,46915,Approved,24,11.79
LA00042,B0275,2022-08-20,Debt Consolidation,12059,Rejected,24,10.31
LA00043,B0106,2024-03-04,Debt Consolidation,42092,Approved,60,15.29
LA00044,B0021,2023-06-25,Medical,40424,Rejected,24,5.0
LA00045,B0064,2022-07-14,Auto,46278,Approved,60,17.61
LA00046,B0165,2023-05-21,Business,1834,Approved,48,8.39
LA00047,B0027,2022-11-30,Vacation,23753,Rejected,36,14.34
LA00048,B0311,2024-02-07,Debt Consolidation,20616,Manual Review,60,14.1
LA00049,B0285,2024-03-03,Home Improvement,19474,Rejected,12,18.24
LA00050,B0148,2022-10-31,Debt Consolidation,15909,Approved,36,13.39
LA00051,B0281,2024-04-12,Debt Consolidation,16289,Approved,36,8.77
LA00052,B0326,2023-03-13,Medical,37291,Pending,36,5.28
LA00053,B0319,2022-11-19,Debt Consolidation,20569,Approved,60,10.93
LA00054,B0164,2023-05-17,Debt Consolidation,15891,Approved,12,5.0
LA00055,B0386,2024-05-07,Business,33239,Pending,36,9.67
LA00056,B0224,2023-01-28,Medical,18665,Pending,36,11.18
LA00057,B0272,2024-03-16,Home Improvement,20147,Manual Review,48,9.4
LA00058,B0146,2023-08-22,Debt Consolidation,59493,Manual Review,24,12.69
LA00059,B0356,2022-05-29,Debt Consolidation,9437,Pending,36,11.44
LA00060,B0030,2024-01-31,Business,3973,Approved,48,11.03
LA00061,B0045,2024-04-12,Debt Consolidation,14155,Approved,24,5.0
LA00062,B0275,2023-02-09,Home Improvement,15861,Rejected,48,6.67
LA00063,B0034,2022-10-10,Debt Consolidation,23794,Approved,36,15.39
LA00064,B0141,2022-12-28,Medical,14557,Approved,48,16.12
LA00065,B0318,2023-01-14,Debt Consolidation,24442,Approved,48,5.0
LA00066,B0374,2022-07-17,Vacation,99081,Approved,24,8.83
LA00067,B0221,2023-07-10,Vacation,25367,Rejected,36,17.32
LA00068,B0356,2022-12-22,Auto,29197,Approved,60,9.27
LA00069,B0022,2023-06-24,Debt Consolidation,12044,Approved,36,12.0
LA00070,B0180,2023-03-05,Vacation,4410,Approved,60,18.99
LA00071,B0367,2022-01-17,Medical,2124,Rejected,36,10.87
LA00072,B0329,2023-10-01,Home Improvement,8822,Approved,24,10.23
LA00073,B0231,2023-01-14,Education,1695,Approved,36,11.79
LA00074,B0038,2023-11-11,Debt Consolidation,20147,Rejected,60,20.84
LA00075,B0070,2023-05-21,Debt Consolidation,9835,Approved,36,14.51
LA00076,B0116,2024-01-26,Auto,4671,Approved,60,12.59
LA00077,B0239,2024-06-17,Debt Consolidation,14834,Approved,60,10.14
LA00078,B0335,2022-03-17,Education,7398,Approved,36,14.92
LA00079,B0148,2022-08-19,Home Improvement,19160,Manual Review,12,15.47
LA00080,B0009,2023-12-17,Business,23531,Approved,48,7.67
LA00081,B0288,2022-09-05,Other,7620,Rejected,36,15.59
LA00082,B0388,2022-10-29,Business,11049,Approved,48,11.82
LA00083,B0050,2023-12-27,Debt Consolidation,15865,Approved,36,12.61
LA00084,B0338,2022-08-03,Debt Consolidation,4334,Rejected,36,8.52
LA00085,B0005,2022-06-07,Medical,15864,Approved,48,10.7
LA00086,B0343,2022-03-10,Debt Consolidation,4252,Approved,36,7.86
LA00087,B0126,2023-01-28,Debt Consolidation,21006,Approved,36,7.65
LA00088,B0075,2022-03-26,Medical,9432,Approved,36,14.2
LA00089,B0165,2022-09-24,Medical,4233,Rejected,36,10.9
LA00090,B0278,2022-03-10,Other,8400,Approved,36,6.65
LA00091,B0324,2023-09-03,Debt Consolidation,8689,Pending,48,22.3
LA00092,B0300,2022-12-13,Debt Consolidation,31407,Rejected,36,7.44
LA00093,B0290,2023-12-29,Debt Consolidation,15346,Approved,36,17.41
