loan_id,application_id,borrower_id,loan_amount,loan_term_months,interest_rate,origination_date,loan_status,default_flag,monthly_payment
LN00001,LA00002,B0079,4794,48,9.14,2022-04-01,Current,0,100.65
LN00002,LA00003,B0072,5341,48,21.08,2023-08-27,Late 30-59,0,113.23
LN00003,LA00005,B0191,12223,36,11.33,2022-01-29,Defaulted,1,342.75
LN00004,LA00006,B0367,4523,24,9.55,2023-12-23,Current,0,189.98
LN00005,LA00007,B0375,7584,36,11.69,2023-06-08,Current,0,212.73
LN00006,LA00008,B0063,16164,24,18.67,2022-11-29,Paid Off,0,684.0
LN00007,LA00010,B0012,1364,48,10.47,2022-05-10,Current,0,28.68
LN00008,LA00011,B0141,8963,36,15.45,2022-10-20,Paid Off,0,252.19
LN00009,LA00014,B0017,31519,36,8.16,2022-01-24,Paid Off,0,881.5
LN00010,LA00015,B0063,12955,24,12.18,2022-04-09,Current,0,545.28
LN00011,LA00018,B0292,12263,36,9.36,2022-05-19,Current,0,343.31
LN00012,LA00019,B0008,69254,48,5.0,2023-05-18,Charged Off,1,1448.82
LN00013,LA00020,B0325,4196,60,14.92,2024-04-05,Current,0,70.82
LN00014,LA00021,B0090,5786,60,18.01,2022-06-23,Current,0,97.9
LN00015,LA00022,B0208,19129,60,11.67,2022-01-29,Current,0,321.93
LN00016,LA00024,B0284,11354,36,8.11,2023-10-17,Current,0,317.55
LN00017,LA00026,B0349,51056,48,11.15,2022-12-17,Defaulted,1,1073.56
LN00018,LA00029,B0101,36434,48,14.46,2023-12-21,Defaulted,1,768.2
LN00019,LA00030,B0151,8433,48,11.13,2024-04-21,Current,0,177.33
LN00020,LA00031,B0400,7018,12,9.15,2022-07-11,Current,0,589.31
LN00021,LA00034,B0180,31085,36,16.62,2024-01-25,Charged Off,1,875.43
LN00022,LA00035,B0124,12255,12,11.37,2024-02-09,Late 60-89,0,1030.98
LN00023,LA00036,B0381,55053,36,7.08,2023-10-26,Current,0,1538.29
LN00024,LA00038,B0285,35593,36,8.46,2024-04-13,Current,0,995.67
LN00025,LA00039,B0195,8071,48,13.67,2022-06-15,Late 30-59,0,170.08
LN00026,LA00040,B0399,83962,48,12.39,2023-06-27,Defaulted,1,1767.28
LN00027,LA00041,B0228,43653,24,11.79,2024-06-01,Defaulted,1,1836.78
LN00028,LA00043,B0106,37534,60,15.29,2024-03-04,Late 30-59,0,633.55
LN00029,LA00045,B0064,39763,60,17.61,2022-07-14,Paid Off,0,672.46
LN00030,LA00046,B0165,1603,48,8.39,2023-05-21,Paid Off,0,33.64
LN00031,LA00050,B0148,15658,36,13.39,2022-10-31,Charged Off,1,439.81
LN00032,LA00051,B0281,15521,36,8.77,2024-04-12,Current,0,434.31
LN00033,LA00053,B0319,18254,60,10.93,2022-11-19,Current,0,307.02
LN00034,LA00054,B0164,13663,12,5.0,2023-05-17,Paid Off,0,1143.39
LN00035,LA00060,B0030,3788,48,11.03,2024-01-31,Defaulted,1,79.66
LN00036,LA00061,B0045,13247,24,5.0,2024-04-12,Current,0,554.26
LN00037,LA00063,B0034,21668,36,15.39,2022-10-10,Paid Off,0,609.63
LN00038,LA00064,B0141,13167,48,16.12,2022-12-28,Paid Off,0,278.01
LN00039,LA00065,B0318,21570,48,5.0,2023-01-14,Defaulted,1,451.26
LN00040,LA00066,B0374,94170,24,8.83,2022-07-17,Charged Off,1,3952.65
LN00041,LA00068,B0356,29068,60,9.27,2022-12-22,Paid Off,0,488.22
LN00042,LA00069,B0022,10554,36,12.0,2023-06-24,Paid Off,0,296.12
LN00043,LA00070,B0180,4143,60,18.99,2023-03-05,Current,0,70.15
LN00044,LA00072,B0329,8060,24,10.23,2023-10-01,Current,0,338.7
LN00045,LA00073,B0231,1554,36,11.79,2023-01-14,Current,0,43.6
LN00046,LA00075,B0070,8734,36,14.51,2023-05-21,Current,0,245.56
LN00047,LA00076,B0116,4548,60,12.59,2024-01-26,Current,0,76.6
LN00048,LA00077,B0239,13688,60,10.14,2024-06-17,Defaulted,1,230.07
LN00049,LA00078,B0335,6891,36,14.92,2022-03-17,Current,0,193.81
LN00050,LA00080,B0009,21077,48,7.67,2023-12-17,Late 30-59,0,441.91
LN00051,LA00082,B0388,9692,48,11.82,2022-10-29,Current,0,203.93
LN00052,LA00083,B0050,13689,36,12.61,2023-12-27,Paid Off,0,384.27
LN00053,LA00085,B0005,15183,48,10.7,2022-06-07,Paid Off,0,319.15
LN00054,LA00086,B0343,3739,36,7.86,2022-03-10,Current,0,104.55
LN00055,LA00087,B0126,20029,36,7.65,2023-01-28,Late 30-59,0,559.92
LN00056,LA00088,B0075,8569,36,14.2,2022-03-26,Current,0,240.86
LN00057,LA00090,B0278,7663,36,6.65,2022-03-10,Current,0,214.07
LN00058,LA00093,B0290,14124,36,17.41,2023-12-29,Paid Off,0,398.03
LN00059,LA00094,B0077,5626,48,5.86,2023-11-04,Current,0,117.79
LN00060,LA00095,B0298,43231,24,14.55,2023-02-27,Paid Off,0,1823.14
LN00061,LA00097,B0106,9150,60,9.67,2022-06-23,Current,0,153.74
LN00062,LA00099,B0135,9032,36,12.78,2022-04-25,Paid Off,0,253.57
LN00063,LA00101,B0147,17047,12,8.64,2022-01-31,Current,0,1430.83
LN00064,LA00103,B0384,22743,36,13.88,2022-12-09,Current,0,639.06
LN00065,LA00104,B0163,3381,36,6.86,2023-01-12,Defaulted,1,94.48
LN00066,LA00105,B0341,13874,36,12.52,2022-05-10,Paid Off,0,389.42
LN00067,LA00106,B0189,10365,12,15.17,2023-09-09,Paid Off,0,874.7
LN00068,LA00108,B0095,12007,60,9.25,2024-01-09,Current,0,201.66
LN00069,LA00109,B0181,7992,36,16.59,2022-01-02,Current,0,225.08
LN00070,LA00111,B0322,11697,12,6.5,2022-04-11,Current,0,980.04
LN00071,LA00112,B0187,2405,12,11.22,2023-06-17,Paid Off,0,202.35
LN00072,LA00114,B0138,9294,36,9.47,2023-01-24,Current,0,260.2
LN00073,LA00116,B0194,5771,24,9.03,2022-12-07,Paid Off,0,242.3
LN00074,LA00117,B0316,5266,48,9.65,2024-05-10,Paid Off,0,110.61
LN00075,LA00120,B0144,16076,36,12.26,2022-11-13,Defaulted,1,451.13
LN00076,LA00122,B0302,17108,24,10.72,2023-10-22,Current,0,719.22
LN00077,LA00123,B0245,3005,36,5.0,2023-06-21,Current,0,83.84
LN00078,LA00125,B0088,24055,48,11.73,2023-09-25,Paid Off,0,506.05
LN00079,LA00126,B0129,21617,36,5.0,2022-01-26,Current,0,602.99
LN00080,LA00129,B0341,19521,60,6.59,2022-11-19,Current,0,327.15
LN00081,LA00130,B0004,2359,36,16.07,2024-01-07,Paid Off,0,66.42
LN00082,LA00134,B0396,7726,12,10.14,2022-01-13,Current,0,649.35
LN00083,LA00135,B0095,5082,36,9.36,2023-07-14,Current,0,142.28
LN00084,LA00136,B0209,84839,60,8.21,2024-04-04,Defaulted,1,1423.67
LN00085,LA00141,B0181,14697,48,15.56,2022-09-18,Current,0,310.17
LN00086,LA00142,B0106,5687,12,11.88,2024-02-29,Paid Off,0,478.64
LN00087,LA00143,B0199,8644,36,21.5,2024-05-20,Current,0,244.42
LN00088,LA00144,B0386,12943,24,17.63,2022-07-24,Current,0,547.23
LN00089,LA00145,B0106,6798,36,12.04,2023-11-28,Paid Off,0,190.75
LN00090,LA00146,B0280,10243,36,10.33,2023-11-18,Current,0,286.99
LN00091,LA00149,B0019,32473,24,6.15,2024-03-31,Charged Off,1,1359.98
LN00092,LA00150,B0296,16981,36,17.39,2023-04-13,Late 60-89,0,478.55
LN00093,LA00151,B0306,72638,48,11.81,2023-02-19,Defaulted,1,1528.19
LN00094,LA00155,B0012,1363,60,12.44,2024-01-28,Current,0,22.96
LN00095,LA00156,B0195,16969,24,19.64,2022-06-10,Paid Off,0,718.64
LN00096,LA00157,B0283,4360,12,16.81,2022-07-19,Current,0,368.5
LN00097,LA00161,B0144,20348,60,12.89,2022-01-16,Current,0,342.79
LN00098,LA00164,B0182,21577,12,14.23,2022-11-28,Paid Off,0,1819.46
LN00099,LA00165,B0030,22690,24,14.36,2023-12-18,Defaulted,1,956.77
LN00100,LA00167,B0166,3279,36,5.0,2023-07-05,Paid Off,0,91.48
LN00101,LA00174,B0296,28764,48,15.19,2022-06-21,Current,0,606.86
LN00102,LA00175,B0225,15279,48,14.88,2023-10-11,Defaulted,1,322.27
LN00103,LA00176,B0333,4095,60,11.97,2023-05-13,Current,0,68.94
LN00104,LA00178,B0374,17715,36,16.85,2023-01-19,Late 60-89,0,499.01
LN00105,LA00179,B0042,34339,36,18.83,2023-11-21,Paid Off,0,968.85
LN00106,LA00180,B0303,5447,36,7.06,2023-08-12,Paid Off,0,152.21
LN00107,LA00184,B0022,21389,24,13.15,2024-03-14,Current,0,900.99
LN00108,LA00187,B0363,20959,60,19.62,2022-08-02,Current,0,355.04
LN00109,LA00189,B0041,17152,36,14.8,2022-06-18,Current,0,482.34
LN00110,LA00191,B0162,6284,60,15.81,2022-10-07,Current,0,106.11
LN00111,LA00192,B0160,27067,12,12.78,2022-11-01,Defaulted,1,2279.61
LN00112,LA00194,B0322,5542,60,13.8,2024-02-14,Current,0,93.43
LN00113,LA00195,B0012,35059,36,9.66,2023-05-31,Defaulted,1,981.71
LN00114,LA00197,B0076,13353,36,7.01,2023-03-29,Late 30-59,0,373.09
LN00115,LA00199,B0201,10928,60,8.96,2022-11-07,Current,0,183.5
LN00116,LA00202,B0226,27491,60,16.37,2023-04-19,Late 60-89,0,464.44
LN00117,LA00208,B0321,2376,60,10.62,2023-03-09,Current,0,39.96
LN00118,LA00209,B0124,3420,48,9.42,2024-03-11,Current,0,71.81
LN00119,LA00211,B0386,17724,36,15.26,2024-02-28,Current,0,498.61
LN00120,LA00212,B0159,7182,48,5.0,2023-02-05,Current,0,150.26
LN00121,LA00213,B0057,8276,60,9.49,2022-10-06,Current,0,139.04
LN00122,LA00214,B0078,23123,60,8.98,2022-02-26,Current,0,388.27
LN00123,LA00215,B0194,8321,36,9.7,2022-07-05,Defaulted,1,233.02
LN00124,LA00217,B0015,29397,36,12.59,2023-08-28,Charged Off,1,825.18
LN00125,LA00218,B0012,12365,36,6.25,2024-02-27,Paid Off,0,345.29
LN00126,LA00221,B0340,9884,36,11.51,2023-11-24,Charged Off,1,277.19
LN00127,LA00222,B0125,24898,24,9.6,2022-12-25,Current,0,1045.72
LN00128,LA00228,B0357,9170,60,12.46,2024-01-20,Current,0,154.44
LN00129,LA00230,B0216,13178,12,13.03,2024-01-13,Defaulted,1,1110.15
LN00130,LA00233,B0128,5065,60,15.41,2022-03-14,Current,0,85.51
LN00131,LA00234,B0314,8611,36,5.17,2023-12-02,Defaulted,1,240.23
LN00132,LA00235,B0332,8957,36,6.49,2022-01-17,Current,0,250.17
LN00133,LA00236,B0150,3091,60,22.11,2023-06-15,Current,0,52.47
LN00134,LA00238,B0173,11211,36,15.78,2022-11-22,Current,0,315.53
LN00135,LA00240,B0206,47701,12,5.0,2023-09-05,Defaulted,1,3991.69
LN00136,LA00244,B0217,11225,60,7.18,2024-04-21,Paid Off,0,188.21
LN00137,LA00246,B0164,10158,48,9.17,2022-12-10,Paid Off,0,213.26
LN00138,LA00247,B0148,3933,12,17.25,2024-05-02,Charged Off,1,332.53
LN00139,LA00248,B0018,2951,36,12.34,2023-06-07,Paid Off,0,82.82
LN00140,LA00249,B0294,39667,12,15.97,2024-05-08,Current,0,3349.6
LN00141,LA00251,B0151,20531,48,5.0,2022-08-06,Paid Off,0,429.52
LN00142,LA00254,B0400,10211,36,11.31,2022-08-10,Paid Off,0,286.33
LN00143,LA00256,B0149,4150,48,11.37,2024-05-30,Defaulted,1,87.28
LN00144,LA00257,B0104,9566,60,21.58,2023-08-15,Current,0,162.3
LN00145,LA00258,B0243,27572,36,13.54,2022-01-07,Late 60-89,0,774.54
LN00146,LA00261,B0198,23277,24,10.57,2022-01-16,Current,0,978.45
LN00147,LA00262,B0396,14394,36,12.92,2023-02-28,Late 30-59,0,404.15
LN00148,LA00264,B0337,4065,36,12.46,2024-03-13,Defaulted,1,114.09
LN00149,LA00267,B0317,14608,36,21.39,2023-11-21,Current,0,413.04
LN00150,LA00269,B0046,17198,36,12.53,2024-02-24,Current,0,482.73
LN00151,LA00272,B0044,7061,36,6.77,2022-05-14,Current,0,197.26
LN00152,LA00273,B0169,7112,24,16.28,2022-10-10,Charged Off,1,300.36
LN00153,LA00276,B0098,5759,60,17.98,2022-03-07,Late 60-89,0,97.43
LN00154,LA00278,B0109,13906,36,19.28,2023-08-27,Defaulted,1,392.49
LN00155,LA00279,B0283,10687,12,22.35,2023-03-13,Current,0,907.2
LN00156,LA00281,B0343,13337,48,5.66,2022-09-16,Paid Off,0,279.17
LN00157,LA00283,B0256,15818,12,13.51,2023-07-21,Charged Off,1,1333.07
LN00158,LA00285,B0206,14614,12,10.97,2022-04-11,Defaulted,1,1228.98
LN00159,LA00286,B0335,17323,12,8.52,2022-07-17,Current,0,1453.87
LN00160,LA00288,B0353,13603,48,13.94,2022-08-14,Paid Off,0,286.71
LN00161,LA00289,B0245,29233,60,6.0,2023-04-08,Charged Off,1,489.67
LN00162,LA00290,B0287,9769,60,15.59,2022-08-25,Current,0,164.93
LN00163,LA00291,B0355,9536,48,14.69,2022-01-26,Current,0,201.11
LN00164,LA00293,B0083,21409,48,19.79,2023-05-21,Late 60-89,0,453.39
LN00165,LA00295,B0190,12917,48,11.74,2023-12-12,Paid Off,0,271.75
LN00166,LA00296,B0288,4421,36,15.96,2024-03-24,Current,0,124.44
LN00167,LA00297,B0397,20181,24,12.85,2024-02-06,Defaulted,1,849.9
LN00168,LA00298,B0251,6545,48,6.27,2023-09-26,Paid Off,0,137.08
LN00169,LA00299,B0212,6132,48,13.33,2023-06-27,Current,0,129.18
LN00170,LA00302,B0201,34105,24,13.18,2023-09-10,Defaulted,1,1436.67
LN00171,LA00303,B0285,5570,24,12.93,2024-01-06,Current,0,234.59
LN00172,LA00304,B0326,46597,48,7.78,2022-09-30,Defaulted,1,977.08
LN00173,LA00305,B0095,25146,24,11.46,2022-08-20,Current,0,1057.76
LN00174,LA00306,B0278,3637,12,16.87,2023-02-24,Current,0,307.37
LN00175,LA00307,B0325,8450,60,9.01,2024-02-07,Paid Off,0,141.89
LN00176,LA00308,B0219,5455,12,12.35,2023-03-18,Current,0,459.29
LN00177,LA00309,B0089,22704,48,8.29,2023-05-11,Current,0,476.27
LN00178,LA00310,B0072,5302,36,7.17,2022-01-24,Current,0,148.18
LN00179,LA00311,B0247,3129,48,12.12,2022-04-19,Late 30-59,0,65.86
LN00180,LA00312,B0129,9954,36,13.28,2023-12-04,Paid Off,0,279.58
LN00181,LA00313,B0212,30229,60,21.47,2023-05-17,Current,0,512.85
LN00182,LA00314,B0343,11159,60,10.45,2024-05-08,Paid Off,0,187.61
LN00183,LA00315,B0096,17558,12,12.27,2022-01-25,Current,0,1478.21
LN00184,LA00316,B0075,18799,12,6.87,2022-07-06,Late 60-89,0,1575.6
LN00185,LA00317,B0054,3630,24,15.26,2022-10-15,Current,0,153.21
LN00186,LA00318,B0344,6176,48,14.29,2023-09-20,Paid Off,0,130.2
LN00187,LA00319,B0054,12350,60,19.2,2022-12-04,Current,0,209.13
LN00188,LA00320,B0218,8079,36,17.5,2024-05-27,Current,0,227.69
LN00189,LA00321,B0016,47924,36,14.08,2022-02-06,Charged Off,1,1346.85
LN00190,LA00323,B0020,5668,48,13.42,2022-05-17,Current,0,119.41
LN00191,LA00324,B0046,15610,60,12.0,2023-05-23,Current,0,262.78
LN00192,LA00326,B0383,1227,36,16.22,2022-11-16,Current,0,34.56
LN00193,LA00327,B0058,61017,12,11.17,2024-04-19,Charged Off,1,5132.15
LN00194,LA00330,B0337,4706,24,15.12,2022-03-27,Current,0,198.58
LN00195,LA00331,B0194,6360,36,11.06,2023-04-12,Current,0,178.3
LN00196,LA00332,B0340,3161,36,14.94,2022-02-22,Late 30-59,0,88.9
LN00197,LA00333,B0326,7073,36,12.84,2024-05-09,Current,0,198.59
LN00198,LA00335,B0029,11114,12,5.0,2022-08-23,Current,0,930.06
LN00199,LA00336,B0112,9758,48,10.71,2024-02-18,Late 30-59,0,205.12
LN00200,LA00339,B0188,42003,12,20.48,2023-05-11,Current,0,3559.99
LN00201,LA00341,B0197,16509,60,17.32,2023-08-22,Current,0,279.13
LN00202,LA00343,B0204,67600,36,5.0,2023-01-31,Defaulted,1,1885.63
LN00203,LA00344,B0212,18053,24,11.17,2023-06-11,Charged Off,1,759.23
LN00204,LA00345,B0109,20243,36,12.02,2023-02-19,Current,0,567.96
LN00205,LA00346,B0276,3558,24,5.21,2023-09-05,Charged Off,1,148.92
LN00206,LA00347,B0073,4784,36,11.26,2023-11-08,Paid Off,0,134.14
LN00207,LA00350,B0243,5783,36,13.59,2023-09-18,Current,0,162.46
LN00208,LA00351,B0275,5613,36,13.62,2023-09-11,Paid Off,0,157.69
LN00209,LA00352,B0102,3743,36,12.45,2022-12-30,Current,0,105.07
LN00210,LA00357,B0188,20825,48,18.73,2023-01-23,Current,0,440.64
LN00211,LA00358,B0086,3488,60,10.49,2022-08-02,Paid Off,0,58.66
LN00212,LA00361,B0365,16647,36,13.24,2024-03-01,Charged Off,1,467.52
LN00213,LA00362,B0342,9568,60,15.85,2022-02-28,Current,0,161.59
LN00214,LA00364,B0211,13248,48,5.0,2024-06-01,Defaulted,1,277.17
LN00215,LA00365,B0200,13696,12,17.81,2024-04-22,Defaulted,1,1158.3
LN00216,LA00367,B0346,10428,36,18.28,2023-12-07,Current,0,294.09
